Combination,Overlap,Length of Overlap
"(0, 2, 5, 6, 8, 11)","[0, 8, 5, 6]",4
"(0, 2, 5, 6, 9, 10)","[0, 10, 5, 6]",4
"(0, 2, 5, 6, 9, 11)","[0, 5, 6]",3
"(0, 2, 5, 6, 10, 11)","[0, 10, 5, 6]",4
"(0, 2, 5, 7, 8, 9)","[0, 8, 5]",3
"(0, 2, 5, 7, 8, 10)","[0, 8, 10, 5]",4
"(0, 2, 5, 7, 8, 11)","[0, 8, 5]",3
"(0, 2, 5, 7, 9, 10)","[0, 10, 5]",3
"(0, 2, 5, 7, 9, 11)","[0, 5]",2
"(0, 2, 5, 7, 10, 11)","[0, 10, 5]",3
"(0, 2, 5, 8, 9, 10)","[0, 8, 10, 5]",4
"(0, 2, 5, 8, 9, 11)","[0, 8, 5]",3
"(0, 2, 5, 8, 10, 11)","[0, 8, 10, 5]",4
"(0, 2, 5, 9, 10, 11)","[0, 10, 5]",3
"(0, 2, 6, 7, 8, 9)","[0, 8, 6]",3
"(0, 2, 6, 7, 8, 10)","[0, 8, 10, 6]",4
"(0, 2, 6, 7, 8, 11)","[0, 8, 6]",3
"(0, 2, 6, 7, 9, 10)","[0, 10, 6]",3
"(0, 2, 6, 7, 9, 11)","[0, 6]",2
"(0, 2, 6, 7, 10, 11)","[0, 10, 6]",3
"(0, 2, 6, 8, 9, 10)","[0, 8, 10, 6]",4
"(0, 2, 6, 8, 9, 11)","[0, 8, 6]",3
"(0, 2, 6, 8, 10, 11)","[0, 8, 10, 6]",4
"(0, 2, 6, 9, 10, 11)","[0, 10, 6]",3
"(0, 2, 7, 8, 9, 10)","[0, 8, 10]",3
"(0, 2, 7, 8, 9, 11)","[0, 8]",2
"(0, 2, 7, 8, 10, 11)","[0, 8, 10]",3
"(0, 2, 7, 9, 10, 11)","[0, 10]",2
"(0, 2, 8, 9, 10, 11)","[0, 8, 10]",3
"(0, 3, 4, 5, 6, 7)","[0, 3, 5, 6]",4
"(0, 3, 4, 5, 6, 8)","[0, 3, 5, 6, 8]",5
"(0, 3, 4, 5, 6, 9)","[0, 3, 5, 6]",4
"(0, 3, 4, 5, 6, 10)","[0, 3, 5, 6, 10]",5
"(0, 3, 4, 5, 6, 11)","[0, 3, 5, 6]",4
"(0, 3, 4, 5, 7, 8)","[0, 8, 3, 5]",4
"(0, 3, 4, 5, 7, 9)","[0, 3, 5]",3
"(0, 3, 4, 5, 7, 10)","[0, 10, 3, 5]",4
"(0, 3, 4, 5, 7, 11)","[0, 3, 5]",3
"(0, 3, 4, 5, 8, 9)","[0, 8, 3, 5]",4
"(0, 3, 4, 5, 8, 10)","[0, 3, 5, 8, 10]",5
"(0, 3, 4, 5, 8, 11)","[0, 8, 3, 5]",4
"(0, 3, 4, 5, 9, 10)","[0, 10, 3, 5]",4
"(0, 3, 4, 5, 9, 11)","[0, 3, 5]",3
"(0, 3, 4, 5, 10, 11)","[0, 10, 3, 5]",4
"(0, 3, 4, 6, 7, 8)","[0, 8, 3, 6]",4
"(0, 3, 4, 6, 7, 9)","[0, 3, 6]",3
"(0, 3, 4, 6, 7, 10)","[0, 10, 3, 6]",4
"(0, 3, 4, 6, 7, 11)","[0, 3, 6]",3
"(0, 3, 4, 6, 8, 9)","[0, 8, 3, 6]",4
"(0, 3, 4, 6, 8, 10)","[0, 3, 6, 8, 10]",5
"(0, 3, 4, 6, 8, 11)","[0, 8, 3, 6]",4
"(0, 3, 4, 6, 9, 10)","[0, 10, 3, 6]",4
"(0, 3, 4, 6, 9, 11)","[0, 3, 6]",3
"(0, 3, 4, 6, 10, 11)","[0, 10, 3, 6]",4
"(0, 3, 4, 7, 8, 9)","[0, 8, 3]",3
"(0, 3, 4, 7, 8, 10)","[0, 8, 10, 3]",4
"(0, 3, 4, 7, 8, 11)","[0, 8, 3]",3
"(0, 3, 4, 7, 9, 10)","[0, 10, 3]",3
"(0, 3, 4, 7, 9, 11)","[0, 3]",2
"(0, 3, 4, 7, 10, 11)","[0, 10, 3]",3
"(0, 3, 4, 8, 9, 10)","[0, 8, 10, 3]",4
"(0, 3, 4, 8, 9, 11)","[0, 8, 3]",3
"(0, 3, 4, 8, 10, 11)","[0, 8, 10, 3]",4
"(0, 3, 4, 9, 10, 11)","[0, 10, 3]",3
"(0, 3, 5, 6, 7, 8)","[0, 3, 5, 6, 8]",5
"(0, 3, 5, 6, 7, 9)","[0, 3, 5, 6]",4
"(0, 3, 5, 6, 7, 10)","[0, 3, 5, 6, 10]",5
"(0, 3, 5, 6, 7, 11)","[0, 3, 5, 6]",4
"(0, 3, 5, 6, 8, 9)","[0, 3, 5, 6, 8]",5
"(0, 3, 5, 6, 8, 10)","[0, 3, 5, 6, 8, 10]",6
"(0, 3, 5, 6, 8, 11)","[0, 3, 5, 6, 8]",5
"(0, 3, 5, 6, 9, 10)","[0, 3, 5, 6, 10]",5
"(0, 3, 5, 6, 9, 11)","[0, 3, 5, 6]",4
"(0, 3, 5, 6, 10, 11)","[0, 3, 5, 6, 10]",5
"(0, 3, 5, 7, 8, 9)","[0, 8, 3, 5]",4
"(0, 3, 5, 7, 8, 10)","[0, 3, 5, 8, 10]",5
"(0, 3, 5, 7, 8, 11)","[0, 8, 3, 5]",4
"(0, 3, 5, 7, 9, 10)","[0, 10, 3, 5]",4
"(0, 3, 5, 7, 9, 11)","[0, 3, 5]",3
"(0, 3, 5, 7, 10, 11)","[0, 10, 3, 5]",4
"(0, 3, 5, 8, 9, 10)","[0, 3, 5, 8, 10]",5
"(0, 3, 5, 8, 9, 11)","[0, 8, 3, 5]",4
"(0, 3, 5, 8, 10, 11)","[0, 3, 5, 8, 10]",5
"(0, 3, 5, 9, 10, 11)","[0, 10, 3, 5]",4
"(0, 3, 6, 7, 8, 9)","[0, 8, 3, 6]",4
"(0, 3, 6, 7, 8, 10)","[0, 3, 6, 8, 10]",5
"(0, 3, 6, 7, 8, 11)","[0, 8, 3, 6]",4
"(0, 3, 6, 7, 9, 10)","[0, 10, 3, 6]",4
"(0, 3, 6, 7, 9, 11)","[0, 3, 6]",3
"(0, 3, 6, 7, 10, 11)","[0, 10, 3, 6]",4
"(0, 3, 6, 8, 9, 10)","[0, 3, 6, 8, 10]",5
"(0, 3, 6, 8, 9, 11)","[0, 8, 3, 6]",4
"(0, 3, 6, 8, 10, 11)","[0, 3, 6, 8, 10]",5
"(0, 3, 6, 9, 10, 11)","[0, 10, 3, 6]",4
"(0, 3, 7, 8, 9, 10)","[0, 8, 10, 3]",4
"(0, 3, 7, 8, 9, 11)","[0, 8, 3]",3
"(0, 3, 7, 8, 10, 11)","[0, 8, 10, 3]",4
"(0, 3, 7, 9, 10, 11)","[0, 10, 3]",3
"(0, 3, 8, 9, 10, 11)","[0, 8, 10, 3]",4
"(0, 4, 5, 6, 7, 8)","[0, 8, 5, 6]",4
"(0, 4, 5, 6, 7, 9)","[0, 5, 6]",3
"(0, 4, 5, 6, 7, 10)","[0, 10, 5, 6]",4
"(0, 4, 5, 6, 7, 11)","[0, 5, 6]",3
"(0, 4, 5, 6, 8, 9)","[0, 8, 5, 6]",4
"(0, 4, 5, 6, 8, 10)","[0, 5, 6, 8, 10]",5
"(0, 4, 5, 6, 8, 11)","[0, 8, 5, 6]",4
"(0, 4, 5, 6, 9, 10)","[0, 10, 5, 6]",4
"(0, 4, 5, 6, 9, 11)","[0, 5, 6]",3
"(0, 4, 5, 6, 10, 11)","[0, 10, 5, 6]",4
"(0, 4, 5, 7, 8, 9)","[0, 8, 5]",3
"(0, 4, 5, 7, 8, 10)","[0, 8, 10, 5]",4
"(0, 4, 5, 7, 8, 11)","[0, 8, 5]",3
"(0, 4, 5, 7, 9, 10)","[0, 10, 5]",3
"(0, 4, 5, 7, 9, 11)","[0, 5]",2
"(0, 4, 5, 7, 10, 11)","[0, 10, 5]",3
"(0, 4, 5, 8, 9, 10)","[0, 8, 10, 5]",4
"(0, 4, 5, 8, 9, 11)","[0, 8, 5]",3
"(0, 4, 5, 8, 10, 11)","[0, 8, 10, 5]",4
"(0, 4, 5, 9, 10, 11)","[0, 10, 5]",3
"(0, 4, 6, 7, 8, 9)","[0, 8, 6]",3
"(0, 4, 6, 7, 8, 10)","[0, 8, 10, 6]",4
"(0, 4, 6, 7, 8, 11)","[0, 8, 6]",3
"(0, 4, 6, 7, 9, 10)","[0, 10, 6]",3
"(0, 4, 6, 7, 9, 11)","[0, 6]",2
"(0, 4, 6, 7, 10, 11)","[0, 10, 6]",3
"(0, 4, 6, 8, 9, 10)","[0, 8, 10, 6]",4
"(0, 4, 6, 8, 9, 11)","[0, 8, 6]",3
"(0, 4, 6, 8, 10, 11)","[0, 8, 10, 6]",4
"(0, 4, 6, 9, 10, 11)","[0, 10, 6]",3
"(0, 4, 7, 8, 9, 10)","[0, 8, 10]",3
"(0, 4, 7, 8, 9, 11)","[0, 8]",2
"(0, 4, 7, 8, 10, 11)","[0, 8, 10]",3
"(0, 4, 7, 9, 10, 11)","[0, 10]",2
"(0, 4, 8, 9, 10, 11)","[0, 8, 10]",3
"(0, 5, 6, 7, 8, 9)","[0, 8, 5, 6]",4
"(0, 5, 6, 7, 8, 10)","[0, 5, 6, 8, 10]",5
"(0, 5, 6, 7, 8, 11)","[0, 8, 5, 6]",4
"(0, 5, 6, 7, 9, 10)","[0, 10, 5, 6]",4
"(0, 5, 6, 7, 9, 11)","[0, 5, 6]",3
"(0, 5, 6, 7, 10, 11)","[0, 10, 5, 6]",4
"(0, 5, 6, 8, 9, 10)","[0, 5, 6, 8, 10]",5
"(0, 5, 6, 8, 9, 11)","[0, 8, 5, 6]",4
"(0, 5, 6, 8, 10, 11)","[0, 5, 6, 8, 10]",5
"(0, 5, 6, 9, 10, 11)","[0, 10, 5, 6]",4
"(0, 5, 7, 8, 9, 10)","[0, 8, 10, 5]",4
"(0, 5, 7, 8, 9, 11)","[0, 8, 5]",3
"(0, 5, 7, 8, 10, 11)","[0, 8, 10, 5]",4
"(0, 5, 7, 9, 10, 11)","[0, 10, 5]",3
"(0, 5, 8, 9, 10, 11)","[0, 8, 10, 5]",4
"(0, 6, 7, 8, 9, 10)","[0, 8, 10, 6]",4
"(0, 6, 7, 8, 9, 11)","[0, 8, 6]",3
"(0, 6, 7, 8, 10, 11)","[0, 8, 10, 6]",4
"(0, 6, 7, 9, 10, 11)","[0, 10, 6]",3
"(0, 6, 8, 9, 10, 11)","[0, 8, 10, 6]",4
"(0, 7, 8, 9, 10, 11)","[0, 8, 10]",3
"(1, 2, 3, 4, 5, 6)","[3, 5, 6]",3
"(1, 2, 3, 4, 5, 7)","[3, 5]",2
"(1, 2, 3, 4, 5, 8)","[8, 3, 5]",3
"(1, 2, 3, 4, 5, 9)","[3, 5]",2
"(1, 2, 3, 4, 5, 10)","[10, 3, 5]",3
"(1, 2, 3, 4, 5, 11)","[3, 5]",2
"(1, 2, 3, 4, 6, 7)","[3, 6]",2
"(1, 2, 3, 4, 6, 8)","[8, 3, 6]",3
"(1, 2, 3, 4, 6, 9)","[3, 6]",2
"(1, 2, 3, 4, 6, 10)","[10, 3, 6]",3
"(1, 2, 3, 4, 6, 11)","[3, 6]",2
"(1, 2, 3, 4, 7, 8)","[8, 3]",2
"(1, 2, 3, 4, 7, 9)",[3],1
"(1, 2, 3, 4, 7, 10)","[10, 3]",2
"(1, 2, 3, 4, 7, 11)",[3],1
"(1, 2, 3, 4, 8, 9)","[8, 3]",2
"(1, 2, 3, 4, 8, 10)","[8, 10, 3]",3
"(1, 2, 3, 4, 8, 11)","[8, 3]",2
"(1, 2, 3, 4, 9, 10)","[10, 3]",2
"(1, 2, 3, 4, 9, 11)",[3],1
"(1, 2, 3, 4, 10, 11)","[10, 3]",2
"(1, 2, 3, 5, 6, 7)","[3, 5, 6]",3
"(1, 2, 3, 5, 6, 8)","[8, 3, 5, 6]",4
"(1, 2, 3, 5, 6, 9)","[3, 5, 6]",3
"(1, 2, 3, 5, 6, 10)","[10, 3, 5, 6]",4
"(1, 2, 3, 5, 6, 11)","[3, 5, 6]",3
"(1, 2, 3, 5, 7, 8)","[8, 3, 5]",3
"(1, 2, 3, 5, 7, 9)","[3, 5]",2
"(1, 2, 3, 5, 7, 10)","[10, 3, 5]",3
"(1, 2, 3, 5, 7, 11)","[3, 5]",2
"(1, 2, 3, 5, 8, 9)","[8, 3, 5]",3
"(1, 2, 3, 5, 8, 10)","[8, 10, 3, 5]",4
"(1, 2, 3, 5, 8, 11)","[8, 3, 5]",3
"(1, 2, 3, 5, 9, 10)","[10, 3, 5]",3
"(1, 2, 3, 5, 9, 11)","[3, 5]",2
"(1, 2, 3, 5, 10, 11)","[10, 3, 5]",3
"(1, 2, 3, 6, 7, 8)","[8, 3, 6]",3
"(1, 2, 3, 6, 7, 9)","[3, 6]",2
"(1, 2, 3, 6, 7, 10)","[10, 3, 6]",3
"(1, 2, 3, 6, 7, 11)","[3, 6]",2
"(1, 2, 3, 6, 8, 9)","[8, 3, 6]",3
"(1, 2, 3, 6, 8, 10)","[8, 10, 3, 6]",4
"(1, 2, 3, 6, 8, 11)","[8, 3, 6]",3
"(1, 2, 3, 6, 9, 10)","[10, 3, 6]",3
"(1, 2, 3, 6, 9, 11)","[3, 6]",2
"(1, 2, 3, 6, 10, 11)","[10, 3, 6]",3
"(1, 2, 3, 7, 8, 9)","[8, 3]",2
"(1, 2, 3, 7, 8, 10)","[8, 10, 3]",3
"(1, 2, 3, 7, 8, 11)","[8, 3]",2
"(1, 2, 3, 7, 9, 10)","[10, 3]",2
"(1, 2, 3, 7, 9, 11)",[3],1
"(1, 2, 3, 7, 10, 11)","[10, 3]",2
"(1, 2, 3, 8, 9, 10)","[8, 10, 3]",3
"(1, 2, 3, 8, 9, 11)","[8, 3]",2
"(1, 2, 3, 8, 10, 11)","[8, 10, 3]",3
"(1, 2, 3, 9, 10, 11)","[10, 3]",2
"(1, 2, 4, 5, 6, 7)","[5, 6]",2
"(1, 2, 4, 5, 6, 8)","[8, 5, 6]",3
"(1, 2, 4, 5, 6, 9)","[5, 6]",2
"(1, 2, 4, 5, 6, 10)","[10, 5, 6]",3
"(1, 2, 4, 5, 6, 11)","[5, 6]",2
"(1, 2, 4, 5, 7, 8)","[8, 5]",2
"(1, 2, 4, 5, 7, 9)",[5],1
"(1, 2, 4, 5, 7, 10)","[10, 5]",2
"(1, 2, 4, 5, 7, 11)",[5],1
"(1, 2, 4, 5, 8, 9)","[8, 5]",2
"(1, 2, 4, 5, 8, 10)","[8, 10, 5]",3
"(1, 2, 4, 5, 8, 11)","[8, 5]",2
"(1, 2, 4, 5, 9, 10)","[10, 5]",2
"(1, 2, 4, 5, 9, 11)",[5],1
"(1, 2, 4, 5, 10, 11)","[10, 5]",2
"(1, 2, 4, 6, 7, 8)","[8, 6]",2
"(1, 2, 4, 6, 7, 9)",[6],1
"(1, 2, 4, 6, 7, 10)","[10, 6]",2
"(1, 2, 4, 6, 7, 11)",[6],1
"(1, 2, 4, 6, 8, 9)","[8, 6]",2
"(1, 2, 4, 6, 8, 10)","[8, 10, 6]",3
"(1, 2, 4, 6, 8, 11)","[8, 6]",2
"(1, 2, 4, 6, 9, 10)","[10, 6]",2
"(1, 2, 4, 6, 9, 11)",[6],1
"(1, 2, 4, 6, 10, 11)","[10, 6]",2
"(1, 2, 4, 7, 8, 9)",[8],1
"(1, 2, 4, 7, 8, 10)","[8, 10]",2
"(1, 2, 4, 7, 8, 11)",[8],1
"(1, 2, 4, 7, 9, 10)",[10],1
"(1, 2, 4, 7, 9, 11)",[],0
"(1, 2, 4, 7, 10, 11)",[10],1
"(1, 2, 4, 8, 9, 10)","[8, 10]",2
"(1, 2, 4, 8, 9, 11)",[8],1
"(1, 2, 4, 8, 10, 11)","[8, 10]",2
"(1, 2, 4, 9, 10, 11)",[10],1
"(1, 2, 5, 6, 7, 8)","[8, 5, 6]",3
"(1, 2, 5, 6, 7, 9)","[5, 6]",2
"(1, 2, 5, 6, 7, 10)","[10, 5, 6]",3
"(1, 2, 5, 6, 7, 11)","[5, 6]",2
"(1, 2, 5, 6, 8, 9)","[8, 5, 6]",3
"(1, 2, 5, 6, 8, 10)","[8, 10, 5, 6]",4
"(1, 2, 5, 6, 8, 11)","[8, 5, 6]",3
"(1, 2, 5, 6, 9, 10)","[10, 5, 6]",3
"(1, 2, 5, 6, 9, 11)","[5, 6]",2
"(1, 2, 5, 6, 10, 11)","[10, 5, 6]",3
"(1, 2, 5, 7, 8, 9)","[8, 5]",2
"(1, 2, 5, 7, 8, 10)","[8, 10, 5]",3
"(1, 2, 5, 7, 8, 11)","[8, 5]",2
"(1, 2, 5, 7, 9, 10)","[10, 5]",2
"(1, 2, 5, 7, 9, 11)",[5],1
"(1, 2, 5, 7, 10, 11)","[10, 5]",2
"(1, 2, 5, 8, 9, 10)","[8, 10, 5]",3
"(1, 2, 5, 8, 9, 11)","[8, 5]",2
"(1, 2, 5, 8, 10, 11)","[8, 10, 5]",3
"(1, 2, 5, 9, 10, 11)","[10, 5]",2
"(1, 2, 6, 7, 8, 9)","[8, 6]",2
"(1, 2, 6, 7, 8, 10)","[8, 10, 6]",3
"(1, 2, 6, 7, 8, 11)","[8, 6]",2
"(1, 2, 6, 7, 9, 10)","[10, 6]",2
"(1, 2, 6, 7, 9, 11)",[6],1
"(1, 2, 6, 7, 10, 11)","[10, 6]",2
"(1, 2, 6, 8, 9, 10)","[8, 10, 6]",3
"(1, 2, 6, 8, 9, 11)","[8, 6]",2
"(1, 2, 6, 8, 10, 11)","[8, 10, 6]",3
"(1, 2, 6, 9, 10, 11)","[10, 6]",2
"(1, 2, 7, 8, 9, 10)","[8, 10]",2
"(1, 2, 7, 8, 9, 11)",[8],1
"(1, 2, 7, 8, 10, 11)","[8, 10]",2
"(1, 2, 7, 9, 10, 11)",[10],1
"(1, 2, 8, 9, 10, 11)","[8, 10]",2
"(1, 3, 4, 5, 6, 7)","[3, 5, 6]",3
"(1, 3, 4, 5, 6, 8)","[8, 3, 5, 6]",4
"(1, 3, 4, 5, 6, 9)","[3, 5, 6]",3
"(1, 3, 4, 5, 6, 10)","[10, 3, 5, 6]",4
"(1, 3, 4, 5, 6, 11)","[3, 5, 6]",3
"(1, 3, 4, 5, 7, 8)","[8, 3, 5]",3
"(1, 3, 4, 5, 7, 9)","[3, 5]",2
"(1, 3, 4, 5, 7, 10)","[10, 3, 5]",3
"(1, 3, 4, 5, 7, 11)","[3, 5]",2
"(1, 3, 4, 5, 8, 9)","[8, 3, 5]",3
"(1, 3, 4, 5, 8, 10)","[8, 10, 3, 5]",4
"(1, 3, 4, 5, 8, 11)","[8, 3, 5]",3
"(1, 3, 4, 5, 9, 10)","[10, 3, 5]",3
"(1, 3, 4, 5, 9, 11)","[3, 5]",2
"(1, 3, 4, 5, 10, 11)","[10, 3, 5]",3
"(1, 3, 4, 6, 7, 8)","[8, 3, 6]",3
"(1, 3, 4, 6, 7, 9)","[3, 6]",2
"(1, 3, 4, 6, 7, 10)","[10, 3, 6]",3
"(1, 3, 4, 6, 7, 11)","[3, 6]",2
"(1, 3, 4, 6, 8, 9)","[8, 3, 6]",3
"(1, 3, 4, 6, 8, 10)","[8, 10, 3, 6]",4
"(1, 3, 4, 6, 8, 11)","[8, 3, 6]",3
"(1, 3, 4, 6, 9, 10)","[10, 3, 6]",3
"(1, 3, 4, 6, 9, 11)","[3, 6]",2
"(1, 3, 4, 6, 10, 11)","[10, 3, 6]",3
"(1, 3, 4, 7, 8, 9)","[8, 3]",2
"(1, 3, 4, 7, 8, 10)","[8, 10, 3]",3
"(1, 3, 4, 7, 8, 11)","[8, 3]",2
